id,RT1_K,RT1_J,T1_Ja,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1,1,32,128,1,256,128,1,1,8,0.19179948946010553,16,64,256,DLMT,1,True,True,True,256,2048,True,1,18,6,512,32,35,64,30,1,0.1926586285714286,1,False,0.0025932800640525206,True,0.19351776768275167
2,32,1,1024,1,512,512,512,1,1,0.12791625541237342,512,512,1,DLMT,8,False,False,True,1024,128,False,11,1,5,1,1,35,1,1,24,0.12965037142857141,1,True,0.005234365930140178,True,0.1313844874447694
3,32,1,2048,1,32,32,256,1,17,inf,32,512,16,DLMT,32,False,False,True,1,512,False,13,26,1,512,1,1,512,27,1,inf,1,True,inf,False,inf
4,1,1,256,32,128,128,16,1024,1,0.24382662685641346,512,256,32,DLMT,1,True,False,False,512,1,True,3,29,1,256,32,35,128,4,15,0.2467182857142857,1,False,0.008728366767766635,True,0.24960994457215793
5,1,1,1,8,32,64,512,128,1,0.22365194765283983,1,32,128,DLMT,1,True,True,False,1024,1024,False,22,29,1,64,1,35,512,2,9,0.22665805714285714,32,True,0.00907383182546022,True,0.22966416663287445
6,8,1,2048,8,1,1,512,512,20,0.2952141430202209,32,256,64,DLMT,1,True,True,True,1,1,False,29,1,11,256,32,35,2048,21,1,0.2990619714285715,1,False,0.01161452967250372,True,0.30290979983692207
7,1,1,2048,32,32,256,16,1,21,0.35057453345472694,1,256,64,DLMT,8,True,True,False,1,1,True,1,17,30,1024,8,35,64,5,1,0.3522116,1,False,0.004941425642753024,True,0.3538486665452731
8,1,32,1,1,16,1,512,256,1,0.36973825490712964,512,512,512,DLMT,32,True,True,True,1,1024,True,20,16,1,1024,1,35,512,22,7,0.37459254285714283,1,True,0.014652491080930056,True,0.379446830807156
9,1,1,512,32,64,16,1,1024,27,0.2911602151586598,1,64,128,DLMT,32,True,False,True,256,128,False,23,1,2,64,1,35,1024,1,17,0.2955040571428571,1,True,0.013111728555420159,True,0.2998478991270544
10,1,1,64,32,64,128,16,1,9,0.2619721635519617,512,64,1,DLMT,1,False,True,True,2048,1024,False,15,1,29,1,1,35,2048,9,1,0.2657324000000001,32,True,0.011350136535868506,True,0.2694926364480385
