id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,cost_std,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
1,1,1,RS,32,32,True,1,512,False,256,32,1,False,0.13646243197076235,128,256,512,512,True,True,True,32,True,128,False,1,False,16,1,256,False,1,12,1,16,4,8,1,0.002417692774999693,35,0.13806436802923766,8,0.1372634,4,8,1,True,256,1024,4,64,False,8,1,1,1
2,32,1,RS,1,8,True,8,128,False,256,128,8,False,0.12406765664650031,16,32,2048,1024,True,True,True,64,False,32,True,1,False,8,12,1024,False,1,4,16,1,1,8,1,0.0022171923146177466,35,0.1255367433534997,4,0.12480220000000002,12,8,8,True,1024,1,16,256,False,1,1,32,8
3,128,1,RS,8,1,True,8,512,True,128,256,1,False,0.1115342208668785,64,1,128,1024,False,True,False,32,True,64,True,1,True,16,16,2048,True,1,12,1,4,4,4,1,0.0012477698322550176,35,0.11236097913312151,8,0.11194760000000001,4,1,8,True,512,512,16,512,True,1,1,32,1
4,128,1,RS,32,1,True,1,1,True,512,1,1,False,0.10379356116233832,128,512,256,1,True,True,False,64,True,128,True,1024,False,8,4,512,True,1,16,1,12,8,1,16,0.0015580756142087064,35,0.10482592455194739,8,0.10430974285714285,16,1,1,True,1,512,16,1024,True,8,1,32,1
5,32,1024,RS,1,8,True,8,1,False,16,128,32,False,0.10927720659426621,1,32,512,512,False,False,True,32,True,32,True,512,True,12,8,64,True,1,8,1,16,12,1,12,0.0014350438935191244,35,0.11022805054859097,12,0.10975262857142859,1,1,8,True,2048,256,12,1,True,1,1,8,1
6,16,1,RS,1,1,False,32,16,False,16,512,32,True,0.1410648410843824,512,1,64,128,False,False,True,128,True,512,False,2048,True,8,16,2048,False,16,1,4,1,16,1,16,0.0014092397255547541,35,0.14199858748704614,4,0.14153171428571426,1,1,8,True,128,1024,12,1,False,1,1,1,16
7,64,2048,RS,32,1,True,32,32,False,64,1,1,True,0.09196620919376511,1,32,64,256,True,False,True,128,True,32,True,256,False,16,4,64,True,1,16,1,8,1,1,12,0.002777398518381941,35,0.09380648223480631,12,0.09288634571428571,16,8,8,True,256,64,1,1024,False,4,8,1,1
8,64,1024,RS,1,32,False,1,128,False,128,1,32,True,0.19467148321116565,512,1,64,256,True,False,True,128,False,32,True,256,True,16,1,1,False,1,1,1,4,1,1,8,0.0011665143423980745,35,0.1954444025031201,4,0.19505794285714287,4,32,1,True,1,128,16,64,True,1,1,1,4
9,512,1,RS,8,8,True,1,512,False,128,32,1,True,0.12911619339476157,32,1,1024,128,False,False,False,64,True,64,True,1,False,16,16,512,False,1,4,1,4,4,8,1,0.002046451960773843,35,0.1304721494623813,12,0.12979417142857144,12,1,1,True,256,2048,12,1024,False,1,1,32,16
10,1,256,RS,1,1,False,32,128,True,16,256,32,False,0.13183578549418945,512,16,256,1,True,False,False,64,False,16,True,1024,False,16,8,2048,True,1,16,1,8,1,1,16,0.0016156117016821348,35,0.1329062716486677,4,0.13237102857142857,4,8,1,True,2048,2048,4,512,True,8,1,8,1
