id,T2_J,T2_I,T4_I,T4_J,mean_confidence_interval_inf,T2_Ja,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,U4_J,U2_J,SCR,U4_I,U1_I,RT2_I,runs,U2_I,RT2_J,cost_mean,cost_std,correct_result,OMP,RT4_J,RT4_I,T4_Ja,mean_confidence_interval_sup,U3_I
1,256,512,1,64,0.36252560943286083,256,1024,RS,256,True,True,False,False,1,20,True,3,16,8,35,1,8,0.3637548571428571,0.003710439366689284,True,False,8,1,2048,0.3649841048528534,13
2,64,512,128,128,0.4900637633846039,256,1,RS,128,True,True,False,False,15,24,True,1,23,1,35,1,32,0.49096000000000006,0.002705257526690258,True,False,8,1,512,0.49185623661539624,21
3,256,16,1,256,0.2546553603742016,256,512,RS,512,True,False,True,True,1,9,True,22,2,32,35,1,1,0.25546531428571434,0.0024448163328202126,True,False,8,8,512,0.25627526819722707,15
4,512,32,1,16,0.1168837823781056,1024,512,RS,64,True,True,True,False,2,13,True,1,22,1,35,1,8,0.12223705714285715,0.016158664576969857,True,True,1,8,1024,0.1275903319076087,20
5,1,256,64,512,1.2287861526425583,1,1,RS,1,False,True,True,True,3,24,False,1,22,32,35,1,1,1.2304348571428572,0.004976554385417728,True,False,8,1,1024,1.232083561643156,1
6,64,128,512,32,0.11694870532345851,1024,1024,RS,512,False,False,False,False,16,11,True,1,7,1,35,1,8,0.12200728571428573,0.015269140360443965,True,True,8,8,2048,0.12706586610511297,21
7,1,16,32,512,0.418509216419077,64,128,RS,1,True,False,True,False,5,2,False,1,9,1,35,1,8,0.4197247428571429,0.003669022207952549,True,False,1,32,2048,0.4209402692952088,17
8,256,1,256,32,0.1334820145265222,1024,256,RS,2048,True,True,False,False,12,19,True,1,22,8,35,1,8,0.13964174285714284,0.018592915244165845,True,True,1,32,1,0.1458014711877635,7
9,512,32,32,16,0.30765110220059266,1024,1,RS,1,False,False,True,False,23,9,False,1,10,8,35,1,1,0.30922511428571425,0.0047510980551653485,True,False,1,8,1,0.31079912637083584,3
10,32,32,128,256,0.36562496545227285,1,128,RS,1024,True,False,True,True,1,5,True,9,7,8,35,1,8,0.36675808571428575,0.003420282171913628,True,False,8,1,2048,0.36789120597629865,7
11,64,16,32,128,0.1896550969466403,512,64,RS,1,True,False,True,False,1,23,True,22,15,8,35,1,1,0.1939508857142857,0.012966681674356072,True,True,1,8,2048,0.19824667448193112,13
12,16,16,32,64,0.29543019710456797,64,512,RS,256,True,False,True,False,1,7,True,8,19,32,35,1,1,0.2956531714285714,0.0006730398623607179,True,False,8,1,2048,0.2958761457525748,29
13,16,16,32,64,0.19786505286331857,128,256,RS,256,True,False,False,False,13,4,False,1,28,8,35,1,8,0.20108128571428574,0.00970808152467808,True,True,32,1,128,0.2042975185652529,25
14,32,1,64,32,0.17540761670730592,128,1,RS,512,False,True,False,True,17,27,True,1,10,8,35,1,8,0.17963434285714286,0.012758218682072817,True,True,1,32,64,0.1838610690069798,15
15,64,32,64,512,0.19397124641041447,128,512,RS,128,False,False,False,True,22,23,False,1,24,8,35,1,1,0.19834554285714287,0.013203654239517738,True,True,8,1,2048,0.20271983930387127,16
16,128,128,512,1,0.18348072058469198,256,128,RS,1024,True,False,False,True,1,25,True,21,8,8,35,1,8,0.18834814285714288,0.014692136554036278,True,True,1,32,512,0.19321556512959379,13
