id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,cost_std,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
1,128,128,DLMT,8,32,True,1,128,False,1,16,8,False,0.15059472954011688,1,1,512,256,True,False,False,512,False,32,True,1024,False,12,12,512,True,1,1,16,1,1,8,1,0.001782658508623383,35,0.15177589903131167,1,0.15118531428571427,1,1,8,True,2048,256,16,2048,True,16,1,32,1
2,64,512,DLMT,1,1,True,32,16,True,512,32,8,False,0.17002147784906002,1,128,128,2048,True,True,False,1,True,256,True,256,False,4,4,2048,False,12,1,16,1,1,1,12,0.005022229583256699,35,0.1733491507223685,12,0.17168531428571426,12,32,1,True,2048,1,8,64,False,1,1,1,12
3,16,1,DLMT,1,1,True,1,512,False,1,512,8,True,0.12269399548447922,1,64,256,512,False,True,False,16,False,512,True,2048,True,4,16,128,False,8,1,8,1,4,1,12,0.0003428248437167127,35,0.12292114737266362,4,0.12280757142857142,1,8,8,True,256,1024,8,512,False,8,1,32,1
4,128,128,DLMT,8,1,True,8,16,True,1,1,8,False,0.1032513494382495,1,16,2048,512,True,True,False,64,True,32,False,2048,True,4,1,1024,False,1,4,1,16,16,1,16,0.006544957701239971,35,0.10758796484746479,12,0.10541965714285714,1,8,8,True,128,512,4,2048,True,1,8,1,16
5,1,1,DLMT,8,8,False,8,32,True,512,512,8,False,0.11613629798190764,64,128,512,1024,False,False,False,512,True,512,False,512,True,16,8,512,False,1,16,1,8,12,1,12,0.0005568263687164604,35,0.11650524487523525,16,0.11632077142857145,1,8,1,True,1,1,16,1,True,16,1,32,1
6,1,2048,DLMT,1,1,False,32,1,False,1,16,1,True,0.1862582529660269,256,16,2048,1,True,True,False,16,True,256,True,512,False,8,8,512,False,16,1,4,1,16,1,16,0.0008898556525914641,35,0.18684786131968736,8,0.18655305714285714,1,1,32,True,256,256,4,512,True,16,1,32,1
7,1,2048,DLMT,1,1,True,32,256,True,16,64,32,True,0.23085217025867516,128,16,2048,1,False,False,False,256,False,512,False,1024,True,12,1,2048,False,4,1,1,1,8,1,1,0.007490881321953498,35,0.2358155440270392,12,0.23333385714285718,4,32,1,True,1024,512,1,512,False,1,1,32,8
8,32,128,DLMT,8,1,True,32,512,False,256,128,8,False,0.1186306179486636,128,16,256,2048,False,False,False,64,True,32,False,1,True,16,16,2048,True,4,1,1,4,16,1,16,0.007461242670805787,35,0.12357435347990788,12,0.12110248571428574,16,8,8,True,64,1024,12,128,True,12,32,1,1
9,16,1024,DLMT,32,32,True,1,64,False,128,64,1,True,0.1710536731564205,512,512,2048,256,False,True,True,32,False,256,False,512,True,12,8,1024,False,12,1,1,8,4,8,1,0.00017459133858872708,35,0.17116935541500805,8,0.17111151428571428,16,1,8,True,128,1,12,512,False,1,8,1,16
10,32,128,DLMT,1,1,True,1,16,True,32,32,32,False,0.10294408839006632,128,64,1,64,True,True,False,1,True,64,False,1024,True,8,8,1,False,1,1,4,1,1,12,1,0.005573714171182518,35,0.10663716875279079,16,0.10479062857142855,1,8,1,True,128,512,16,256,True,16,8,1,1
11,16,2048,DLMT,32,1,False,1,256,False,16,128,1,True,0.13120751680181741,128,512,256,512,False,False,True,32,True,512,True,2048,True,1,12,512,False,1,1,8,1,8,16,1,0.0008533551625609281,35,0.1317729403410397,8,0.13149022857142856,16,8,8,True,64,2048,16,1024,False,16,8,1,1
12,16,64,DLMT,32,32,False,1,16,False,16,1,1,False,0.22569904759376722,16,1,64,1024,False,True,True,16,True,256,True,1,True,16,16,256,True,12,1,1,12,16,1,16,0.010623036843711749,35,0.23273775240623287,8,0.22921840000000004,4,1,8,True,256,128,12,1,False,1,8,8,1
13,16,1024,DLMT,1,32,True,1,128,False,128,256,32,False,0.15689294119181238,512,1,64,128,False,False,True,1,True,16,False,2048,True,12,1,2048,False,1,16,16,1,16,1,1,0.006187165303254466,35,0.16099248737961616,1,0.15894271428571427,1,1,32,True,1024,512,12,1024,True,8,32,1,1
14,512,1,DLMT,1,1,False,32,64,False,32,512,32,True,0.16881122592850348,512,16,512,64,True,False,True,256,False,128,True,512,False,12,16,1,False,1,1,1,16,16,1,8,0.008292417194876145,35,0.1743056883572108,16,0.17155845714285714,12,1,1,True,1,1,16,2048,True,1,8,1,12
15,64,1,DLMT,32,32,False,1,16,False,128,16,1,True,0.12397235014986874,64,1,1,1024,True,True,False,512,False,1,False,512,True,12,4,1024,False,4,1,1,12,4,4,1,0.0012228869208657383,35,0.12478262127870268,1,0.12437748571428571,4,1,1,True,512,64,1,64,True,1,1,1,16
16,512,2048,DLMT,32,8,False,8,512,False,1,128,1,False,0.09099390015199366,128,256,2048,1,True,True,False,32,False,64,False,2048,True,1,1,256,True,16,1,16,1,4,1,12,0.004212584474706563,35,0.09378511127657779,12,0.09238950571428572,4,1,8,True,1024,2048,16,1,True,8,32,1,1
17,64,1,DLMT,8,1,False,32,1,True,1,32,8,False,0.13645510393630916,64,512,256,1024,False,True,False,16,False,64,False,512,False,1,4,64,False,16,1,1,16,1,8,1,0.004521085895928914,35,0.13945072463511932,12,0.13795291428571424,12,1,32,True,512,2048,1,2048,True,1,1,32,4
18,32,256,DLMT,1,32,True,1,1,False,512,64,1,False,0.08294289526602926,16,128,256,1024,False,False,True,16,False,16,True,512,True,16,8,1,True,4,1,1,8,8,4,1,0.0053463341200138716,35,0.08648531616254217,16,0.08471410571428571,16,1,8,True,2048,1,16,256,True,1,8,8,4
19,512,512,DLMT,1,8,True,8,512,True,128,16,8,False,0.11199582002997004,1,128,2048,1,False,True,False,64,False,256,False,1,False,8,12,1024,False,8,1,1,16,16,4,1,0.0012222447812554255,35,0.11280566568431567,16,0.11240074285714285,16,8,8,True,1024,1,1,128,False,16,32,1,1
20,1,2048,DLMT,32,1,False,32,128,False,1,16,1,False,0.113499431517761,64,16,64,2048,False,False,True,32,False,1,False,512,True,8,1,1,False,1,16,1,16,16,12,1,0.0004393931529474971,35,0.113790568482239,1,0.113645,16,8,1,True,512,256,16,256,False,1,8,8,1
21,16,2048,DLMT,1,32,False,1,512,True,32,1,32,True,0.16345562721397763,512,256,2048,1024,True,False,False,128,False,1,True,1,True,4,4,512,True,8,1,1,1,16,16,1,0.005847802832740879,35,0.16733031564316522,12,0.16539297142857143,16,32,1,True,1024,512,1,2048,True,1,8,8,4
22,16,2048,DLMT,32,1,False,32,1,True,512,32,1,False,0.11704507685073084,256,32,2048,1,False,False,True,512,True,512,True,1,True,4,16,2048,True,1,1,1,8,1,1,1,0.0009345430593589141,35,0.11766429457784056,1,0.1173546857142857,12,1,32,True,512,2048,8,1024,False,1,32,1,1
23,128,512,DLMT,1,8,True,8,1,False,1,64,1,True,0.13332214191197697,512,256,1,512,True,False,False,1,False,128,True,2048,False,12,4,1024,True,1,16,8,1,4,1,4,0.0007153787066145796,35,0.13379614380230873,16,0.13355914285714285,4,32,1,True,2048,512,1,2048,True,1,1,1,1
24,1,256,DLMT,32,1,True,8,128,True,256,512,1,False,0.11761371052009728,256,128,512,1,False,True,False,32,True,32,True,1,False,16,12,2048,False,4,1,1,8,12,16,1,0.008085526470004463,35,0.1229710894799027,4,0.1202924,1,1,1,True,2048,1024,12,512,False,12,32,1,1
25,1,1024,DLMT,8,1,False,8,16,True,32,256,1,False,0.09937073812352412,512,1,1024,256,False,True,True,512,False,32,False,1024,True,4,16,2048,True,1,8,16,1,1,16,1,0.0006033447761488626,35,0.09977050759076161,12,0.09957062285714287,8,8,8,True,1024,64,1,256,True,1,1,8,16
26,64,1,DLMT,8,8,True,8,1,True,256,32,8,False,0.1398825695926363,256,256,1024,1024,True,False,False,16,True,1,True,2048,False,4,8,2048,True,1,16,1,1,8,12,1,0.000494774833141507,35,0.1402104018359351,1,0.1400464857142857,8,8,8,True,1,1,4,1024,False,1,1,32,4
27,512,256,DLMT,32,1,False,8,64,True,512,512,1,True,0.11614913602380221,128,256,1024,2048,True,True,False,512,True,32,False,128,True,8,16,1024,False,16,1,1,12,8,1,8,0.00803128962831484,35,0.12147057826191211,4,0.11880985714285716,16,1,1,True,2048,128,16,1,False,12,1,1,1
28,64,128,DLMT,1,32,True,1,128,True,512,512,8,True,0.21238420693957108,32,32,1,1,False,False,False,16,False,512,False,2048,True,12,16,512,False,16,1,8,1,12,8,1,0.00028656060369812827,35,0.21257407877471465,12,0.21247914285714287,8,32,1,True,1024,2048,16,1,False,1,1,1,16
29,128,512,DLMT,1,32,True,1,512,True,128,64,8,True,0.15413685914154632,256,512,1024,128,True,True,True,256,False,64,False,1,True,12,4,1,True,1,16,12,1,8,16,1,0.006531431568178291,35,0.15846451228702516,1,0.15630068571428574,4,1,32,True,1024,1024,8,512,True,8,1,32,1
30,32,2048,DLMT,1,8,False,1,1,False,16,256,32,False,0.16311204402662371,16,16,256,128,True,True,False,1,True,1,False,128,True,8,8,2048,True,1,4,4,1,12,8,1,0.0007490497523052618,35,0.1636083559733763,16,0.1633602,16,32,1,True,1024,1024,16,1024,True,1,1,32,16
31,16,512,DLMT,1,32,True,1,256,True,64,1,32,True,0.1660104383347556,16,32,64,128,True,False,False,32,True,512,True,512,False,8,16,64,True,16,1,1,1,4,8,1,0.007157178739003295,35,0.17075270452238722,1,0.1683815714285714,16,8,1,True,2048,1024,1,64,False,1,32,1,8
32,1,1,DLMT,1,8,False,8,1,False,512,256,1,True,0.12654596196164383,256,32,512,1,False,True,True,1,True,16,False,2048,True,16,4,256,True,1,1,8,1,12,8,1,0.005334688512912062,35,0.1300806666097847,8,0.12831331428571427,16,32,1,True,64,2048,8,2048,True,16,8,1,1
33,16,256,DLMT,1,1,True,1,512,True,16,256,8,True,0.12436807101641392,64,256,64,64,True,False,True,32,True,64,True,256,False,16,8,2048,True,12,1,1,16,4,1,4,0.004618379788697879,35,0.12742815755501466,4,0.1258981142857143,12,32,1,True,1,1024,4,512,True,1,1,32,8
34,512,512,DLMT,1,1,True,8,64,True,256,16,8,True,0.10355272169459218,256,512,2048,512,False,False,False,1,False,1,False,128,False,1,16,1024,False,1,1,8,1,4,1,4,0.006344011774186773,35,0.1077561925911221,1,0.10565445714285714,8,32,1,True,512,2048,16,1024,True,1,8,8,12
35,256,2048,DLMT,1,8,True,1,1,True,16,64,32,True,0.16029120188582457,256,16,2048,128,False,True,False,32,False,64,True,128,True,16,8,256,True,1,12,1,16,16,4,1,0.007684140005311232,35,0.16538262668560394,16,0.16283691428571426,1,1,32,True,128,1024,16,256,False,16,1,8,1
36,32,128,DLMT,8,1,False,8,512,False,1,16,8,False,0.08411310368017917,128,1,2048,128,True,True,True,16,True,64,False,64,True,8,8,2048,True,1,16,16,1,16,4,1,0.005327973712385355,35,0.08764335917696366,16,0.08587823142857141,1,1,1,True,2048,2048,1,1024,True,16,1,8,1
37,64,2048,DLMT,1,8,False,8,128,False,512,128,32,False,0.12591671031439872,64,16,1024,1024,False,False,True,64,False,256,False,2048,True,16,16,512,False,1,16,1,1,1,16,1,0.00634922063377282,35,0.13012363254274412,16,0.12802017142857142,1,1,32,True,128,1,8,1024,True,1,8,8,12
38,256,1,DLMT,1,1,False,32,128,False,16,128,32,False,0.16587351529976727,16,512,256,256,False,True,True,256,True,16,True,1,True,1,4,512,True,16,1,8,1,16,16,1,0.009852175618675527,35,0.17240145612880411,1,0.1691374857142857,4,1,1,True,1,1,1,2048,False,1,32,1,1
39,256,128,DLMT,32,1,True,8,32,False,1,16,1,True,0.12866133187421208,16,32,1024,1,False,False,False,16,True,32,False,128,True,4,4,64,True,12,1,16,1,8,1,4,0.008519344583586084,35,0.13430615384007366,8,0.13148374285714287,16,32,1,True,1,64,8,64,False,4,8,1,1
40,512,512,DLMT,32,8,True,1,1,True,512,64,1,True,0.12054642298193105,1,1,1,2048,False,False,True,32,False,32,True,128,True,1,4,64,False,12,1,4,1,12,12,1,0.004643448663505631,35,0.12362311987521177,1,0.12208477142857141,8,1,32,True,2048,128,12,128,True,4,1,32,1
41,128,1,DLMT,32,1,False,8,256,True,32,16,1,False,0.11800487400710265,16,128,1024,1024,False,True,True,512,True,32,False,1024,False,4,4,64,True,12,1,8,1,16,1,4,0.008419133780931653,35,0.1235832974214688,12,0.12079408571428572,8,1,32,True,512,2048,12,256,False,4,32,1,1
42,16,2048,DLMT,1,8,True,8,16,False,1,128,8,True,0.12135685221343269,64,64,256,1024,True,True,True,512,False,1,False,512,False,4,12,64,True,12,1,16,1,4,1,12,0.0052641290121278874,35,0.12484480492942444,12,0.12310082857142857,4,1,1,True,1024,2048,4,2048,False,8,8,1,1
43,512,1,DLMT,32,32,False,1,256,True,16,1,1,False,0.2913061794036955,256,1,1024,64,False,False,True,128,True,64,True,256,False,4,1,256,False,1,1,1,12,4,1,4,0.010093372962898141,35,0.29799393488201864,16,0.2946500571428571,8,32,1,True,1,512,4,64,False,1,1,32,16
